Albania,Argentina,Bahrain,Bangladesh,Benin,Botswana,Brazil,Bulgaria,Burundi,Cameroon,Canada,Chile,China,Colombia,Costa_Rica,Denmark,Dominican_Republic,Ecuador,El_Salvador,Finland,France,Gabon,Ghana,Greece,Guatemala,Guinea,Honduras,India,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Nepal,Netherlands,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Portugal,Saudi_Arabia,Senegal,Sierra_Leone,Singapore,South_Africa,Spain,Sri_Lanka,Sudan,Sweden,Switzerland,Thailand,Togo,Turkey,Uganda,United_Kingdom,United_States,Uruguay
-0.35540926,0.22970766,-0.0856524,-0.54763544,-0.553145,-0.10700762,0.1436965,-0.31406203,-0.46082234,-0.06710478,0.066025965,0.25510406,0.51850945,-0.1026136,-0.097195,0.39114377,-0.314992,0.09240672,-0.41395155,-0.15241352,0.20075493,0.16110964,0.25199142,0.10211739,0.18379843,0.12371662,0.36483875,0.4062782,-0.3696157,0.018554509,0.033251,0.38596386,-0.53084874,-0.39775994,-0.24152821,0.06273602,0.018934906,-0.0014734196,-0.13093336,-0.30230832,-0.11614868,-0.12913486,0.3143967,0.24617182,0.1133763,0.07742488,-0.38151485,-0.29339206,0.22826669,0.4798309,0.07433211,0.2149871,0.029311404,-0.24292658,-0.11788985,0.28365582,-0.39897433,0.46743622,-0.28680447,0.26173347,-0.2505587,-0.19533312,0.13853578,0.3006916,0.36176094,-0.36427787,-0.13282299,0.3571844,0.15764955,-0.19104579,0.015744643
0.46731636,-0.18747982,0.1879236,-0.3920232,0.271466,0.010834957,-0.22160207,-0.02662307,0.09634828,0.07550742,0.41847095,-0.08273886,-0.3832083,0.111198865,-0.27552563,0.31003237,0.18232353,0.011511827,-0.53945625,0.38225064,-0.08071808,0.065188386,0.29546776,0.29698467,0.11572582,0.13156354,0.48263,-0.3361147,-0.055394158,0.2075832,0.40011656,-0.04610876,-0.22635347,-0.3970833,-0.2745354,-0.22701721,-0.006322526,0.49016836,0.34899613,-0.03299666,-0.5250188,-0.5240655,0.13367084,0.33216056,0.047064092,0.44332314,0.14495014,-0.12648666,-0.24537583,-0.2627732,0.4663699,0.49825013,0.067772835,-0.07776758,-0.48344168,0.5355464,-0.09932964,-0.4125508,0.3165483,-0.14135839,-0.3010047,0.29396665,0.4429872,-0.19785893,0.08661524,-0.056374338,-0.3632673,-0.50757545,-0.32706103,0.19674444,0.50866276
0.51873314,0.32548973,0.15462135,-0.16520925,0.48479557,-0.083495684,0.13864657,-0.13763168,-0.103376955,0.082194984,-0.41450083,-0.24868569,-0.3861263,-0.08015121,0.07108501,0.12441888,-0.23876798,0.44335157,0.15500025,0.2725707,-0.20677668,0.015365808,0.35883686,-0.5037616,0.22929299,-0.09667061,-0.02274935,0.19243394,0.41784456,0.23057947,0.35696062,-0.45706466,-0.06535812,0.3652474,-0.40228063,-0.28997856,-0.04688513,-0.15229441,0.113650165,-0.18217373,0.33523026,-0.28379357,-0.1985938,-0.25641504,0.048972033,-0.03986634,-0.3584641,-0.09836137,-0.35201707,-0.5248279,0.33097863,0.5278031,0.3239076,-0.32657844,-0.44479305,-0.08894669,0.08189901,-0.2995941,0.2843353,0.137857,0.41846344,0.42374408,-0.53040475,-0.024799319,0.3994867,0.087014444,0.42708194,0.13684833,-0.23954971,-0.34912422,-0.3134854
0.49529484,-0.32249224,-0.45213935,0.5486241,-0.08095958,0.0775241,-0.22508399,0.26855913,0.37692615,-0.073035106,0.0891844,0.42361417,-0.029918043,-0.3735412,-0.13316211,-0.34237322,0.19243711,-0.22344282,0.27206722,0.13704349,0.19976561,0.28098208,-0.32338545,-0.26333517,-0.4803781,-0.3273777,-0.24423207,0.31738305,-0.4508231,0.09519783,-0.0791745,-0.52001005,-0.25888982,0.24757223,-0.32668012,-0.38534272,-0.06870267,0.16661645,-0.11788972,-0.19823536,0.15650015,-0.03875878,-0.13725787,-0.32352176,0.15940431,0.021542242,-0.12653032,-0.008393589,-0.24779074,0.12482979,-0.38569766,-0.4133432,-0.3918412,-0.22204706,-0.4748027,0.45588773,-0.505193,0.1761078,0.12659818,0.04232002,0.032357506,0.4005923,-0.22941269,-0.45519072,-0.052254464,-0.29911193,0.038786825,0.508502,0.29012063,0.37405193,-0.22615565
-0.3078394,0.29713038,0.37917483,-0.11892993,0.5074889,0.24079347,0.088173024,-0.06703371,0.011452,-0.31234896,-0.21216255,0.17033249,0.4138963,-0.1502331,0.26983428,0.18599367,-0.37225905,-0.39146012,-0.3535096,-0.15248784,0.0024601894,-0.16536738,0.37496847,0.31456813,0.39763492,0.26646632,0.018594425,-0.15388602,-0.39556533,0.2570663,0.14270101,0.15440221,-0.10016236,0.030247027,-0.05370261,-0.08630133,-0.5268896,-0.34067437,-0.16008773,-0.23654236,0.2900336,-0.26795307,-0.38742936,-0.3804832,0.07435322,-0.30002496,0.14097796,-0.42971352,0.089963846,0.4753769,-0.42724034,0.15213941,-0.026726626,0.26447135,-0.31903976,0.13298592,0.43438688,0.010922895,-0.4189207,-0.14335342,0.41303608,-0.17241147,0.4236237,-0.1689949,0.51701236,0.317018,-0.1347912,-0.49516183,-0.20303568,-0.4659035,0.45541865
0.15979372,-0.20562956,0.23990797,0.20291199,0.38995713,0.39246958,-0.27719668,0.32261756,0.25626734,-0.21380045,0.16045421,-0.30380943,-0.059476763,0.20172656,-0.08321045,-0.0109501025,-0.25260305,-0.3117277,-0.4060106,0.13926053,0.31522983,-0.44866124,-0.18864967,0.34496024,0.41061825,-0.18573923,-0.07200697,0.14067975,0.5012078,0.39416283,-0.30641156,0.30748093,0.1073409,0.31219465,-0.05404201,0.28397453,0.26084828,0.03945318,-0.19959955,-0.27412984,0.039110187,0.42581138,0.01786697,-0.22846119,0.46672845,0.13736454,0.081315555,-0.25315133,0.18334982,-0.17451984,0.5102432,0.28948125,0.2492559,0.38924038,-0.120248,-0.37459677,-0.042854037,0.07786196,-0.35177955,-0.1862724,0.12552994,0.34282303,0.24710669,-0.38448134,0.1285041,-0.16254833,0.25719002,-0.4702963,-0.29596305,0.4565636,-0.3560097
0.019154629,-0.45134512,-0.50778365,-0.04415328,-0.49918917,-0.5268293,-0.48262593,-0.3978037,-0.28306106,0.043671817,0.4362224,0.15685442,-0.37108546,-0.5242371,-0.20355865,0.06506492,-0.5283135,0.450026,0.20785879,-0.44338334,-0.42498058,-0.44608173,0.31009594,-0.42677304,-0.016365347,0.13434838,-0.32802406,0.20010847,-0.42096096,-0.18531235,0.064450726,0.27099043,-0.21063516,0.4551184,-0.32237083,0.20394501,-0.08148626,0.4514366,-0.005218674,0.22841042,-0.47680047,0.02419799,0.27305576,-0.3403976,0.15189797,0.42255533,0.51063395,0.079856955,0.4178174,0.03562537,0.36455345,0.2368051,0.29360348,0.44561943,-0.25864178,-0.104637,-0.5288523,-0.1269928,0.055699613,0.24783261,0.37002236,-0.21742888,-0.4270621,-0.4402558,-0.31102154,0.23692529,0.03643368,-0.27582172,-0.035610724,0.46805897,0.34067762
-0.40171546,0.3772357,-0.2460819,0.2817101,-0.14919795,0.5082925,-0.5133054,-0.46757692,0.5400986,0.15935655,0.2634237,0.07573011,0.32364097,-0.008776999,-0.31026345,-0.38894838,0.41331008,0.065567344,0.064741656,0.46048108,-0.40672427,0.08334579,0.07023229,-0.40286326,-0.07906765,0.16260116,-0.462469,0.26829955,-0.30269524,-0.12005772,0.26738778,-0.23266299,-0.4869738,0.22081445,-0.16145289,-0.36166722,0.1945837,0.2247274,0.39179966,-0.27013195,-0.07963569,-0.20780566,0.487962,-0.49442005,0.54182196,-0.47896472,-0.3686476,0.42655134,-0.4721488,0.056839813,0.027330387,0.4597987,-0.11563378,-0.12632254,0.5251265,-0.17060786,0.40222666,0.18456435,-0.1739459,-0.4298186,-0.13472524,-0.4267745,0.025933562,-0.52176654,0.1835953,-0.17859726,-0.22568104,-0.3451349,0.31315926,0.40063763,-0.15920636
0.05851906,-0.43698913,-0.397775,-0.2984166,-0.40988144,-0.15517934,0.17791529,0.50181365,-0.22077443,-0.537169,0.33250988,-0.39903447,0.4477107,0.37476027,-0.04065994,-0.25933868,0.258247,0.46153763,0.15638067,0.44867054,-0.42129263,-0.51570207,-0.32567883,0.030483278,0.5133634,0.48057085,0.46931002,-0.4709946,0.34966514,-0.4040751,0.45433208,-0.1915735,-0.14194638,-0.28116366,0.4385812,0.44111007,-0.45854905,0.040679727,0.2528398,-0.03920584,-0.24899147,0.36986828,0.13522615,0.20193627,0.4404847,-0.25759703,0.10244386,-0.2185121,0.025765555,-0.43654406,0.36581284,0.415035,-0.1727833,0.23794027,-0.2570087,-0.028406452,-0.38163447,-0.2869609,-0.48759425,-0.19131367,0.037129704,0.048624568,-0.3901448,0.012714061,-0.48580003,-0.41848376,0.4137908,0.39228925,0.19597335,0.16892117,-0.4106979
0.37652516,0.4094944,0.1855023,-0.11446057,0.15578184,0.3384824,0.08553983,-0.21616496,-0.38312447,0.43680608,-0.013136939,0.23807257,0.1570858,0.041168414,-0.061029013,0.29704112,0.1889676,0.12650193,0.021225914,0.19594641,0.21268106,0.27458918,-0.2659736,-0.296223,0.47034508,-0.20599928,0.13943636,-0.37838784,-0.24660604,0.28695425,0.37554368,0.033538856,0.46809912,-0.14699443,-0.41784108,0.50476515,-0.26381856,-0.20317861,-0.36717382,-0.055934053,-0.24211016,-0.3713927,0.13289988,0.26734334,-0.063292935,0.1145244,0.12642224,0.44319,0.03565494,0.47663778,-0.240888,-0.10664622,0.38722578,-0.017186355,0.11465029,0.29824698,0.12830964,0.15455288,-0.050522197,-0.020986324,-0.109842815,-0.40088153,0.19155826,0.3507754,-0.30199537,0.36952817,0.017782426,0.20669396,0.12193259,-0.22023329,0.14118534
